Ticker,Name,Exchange
ACTL,Actel Corp,OTCBB
ACTN,Longhai Steel Inc,NASDAQ
ACTS,Actions Semiconductor Co LTD,NASDAQ
ACTT,Act Teleconferencing Inc,OTC
ACTU,Actuate Corp,
ACTV,Active Network Inc,NYSE
ACU,Acme United Corp,NYSE MKT
ACUP,Rudy Nutrition,
ACUR,Acura Pharmaceuticals Inc,NASDAQ
ACUS,Acusphere Inc,OTC
ACV,Alberto Culver Co,
ACV,Alberto-culver Co,NYSE
ACVE,Active Link Communications Inc,
ACW,Accuride Corp,NYSE
ACXM,Acxiom Corp,NASDAQ
ACY,Aerocentury Corp,NYSE MKT
AD,Valassis Direct Mail Inc,NYSE
ADAC,Adama Technologies Corp,OTC
ADAM,Adam Inc,
ADAPQ,Ab Liquidating Corp,
ADAT,Authentidate Holding Corp,NASDAQ
ADB,Acco Brands Corp,NYSE
ADBE,Adobe Systems Inc,NASDAQ
ADBL,Audible Inc,
ADBN,Americana Publishing Inc,OTC
ADC,Agree Realty Corp,NYSE
ADCC,Ever-glory International Group Inc,OTC
ADCT,Adc Telecommunications Inc,
ADDI,Addison Davis Diagnostics,
ADEC,Terrasol Holdings LTD,OTC
ADEP,Adept Technology Inc,NASDAQ
ADES,Ada-es Inc,NASDAQ
ADES,Advanced Emissions Solutions Inc,NASDAQ
ADEX,Ade Corp,
ADF,Acm Managed Dollar Income Fund Inc,
ADG,Allied Defense Group Inc,
ADG,Aberdeen Global Diversified Fixed Income Fund Inc,
ADGD,Andresmin Gold Corp,
ADGE,American DG Energy Inc,NYSE MKT
ADGF,Adams Golf Inc,NASDAQ
ADGL,Alldigital Holdings Inc,OTCBB
ADHXF,Adherex Technologies Inc,OTC
ADI,Analog Devices Inc,NASDAQ
ADI,Document Technologies Inc,NASDAQ
ADIC,Advanced Digital Information Corp,
ADIF,American Development & Investment Fund Inc,
ADK,Adcare Health Systems Inc,NYSE MKT
ADLAC,Adelphia Communications Corp,
ADLE,Zealous Inc,
ADLI,American Medical Technologies Inc,OTC
ADLR,Adolor Corp,
ADLS,Advanced Life Sciences Holdings Inc,OTC
ADLTQ,Advanced Lighting Technologies Inc,
ADLU,Brightec Inc,
ADM,Archer Daniels Midland Co,NYSE
ADMC,Americas Diamond Corp,OTCBB
ADMD,Advanced Medical Isotope Corp,OTC
ADMG,Advanced Materials Group Inc,
ADNC,Audience Inc,NASDAQ
ADNT,Gold Hills Mining LTD,
ADNW,Auto Data Network,
ADNY,Adino Energy Corp,OTC
ADP,Automatic Data Processing Inc,NASDAQ
ADPI,American Dental Partners Inc,
ADPT,Steel Excel Inc,
ADRV,US Rare Earth Minerals Inc,
ADRX,Andrx Corp,
ADS,Alliance Data Systems Corp,NYSE
ADSC,Atlantic Data Services Inc,
ADSK,Autodesk Inc,NASDAQ
ADSM,Ads Media Group Inc,
ADSO,Adsero Corp,OTC
ADSO,Ads In Motion Inc,OTC
ADST,Adstar Inc,OTC
ADSY,Nanoasia LTD,
ADT,Adt Corp,NYSE
ADTI,Advance Display Technologies Inc,
ADTM,Adaptive Medias Inc,OTCBB
ADTN,Adtran Inc,NASDAQ
ADTR,Alliance Distributors Holding Inc,OTC
ADUS,Addus Homecare Corp,NASDAQ
ADVB,Advanced Biotherapy Inc,
ADVC,Advanced Communications Technologies Inc,OTC
ADVNB,Advanta Corp,
ADVP,Advancepcs,OTC
ADVR,Advanced Viral Research Corp,
ADVS,Advent Software Inc,NASDAQ
ADX,Adams Express Co,NYSE
ADXM,Support Span Inc,OTC
ADXS,Advaxis Inc,NASDAQ
ADY,Feihe International Inc,NYSE
ADYE,Aradyme Corp,
ADYN,Eagle Ridge Ventures Inc,
ADZA,Adeza Biomedical Corp,
ADZR,Adzone Research Inc,
AE,Adams Resources & Energy Inc,NYSE MKT
AEA,Advance America Cash Advance Centers Inc,NYSE
AEBF,Aemetis Inc,
AEC,Associated Estates Realty Corp,NYSE
AEDU,American Education Corp,
AEE,Ameren Corp,NYSE
AEEI,American Environmental Energy Inc,OTC
AEGA,Aegea Inc,OTCBB
AEGG,American Energy Group LTD,OTC
AEGN,Aerogen Inc,NASDAQ
AEGR,Aegerion Pharmaceuticals Inc,NASDAQ
AEGY,Alternative Energy Partners Inc,OTCBB
AEHI,Alternate Energy Holdings Inc,OTC
AEHR,Aehr Test Systems,NASDAQ
AEHZF,Asia Electronics Holding Co Inc,
AEIS,Advanced Energy Industries Inc,NASDAQ
AEL,American Equity Investment Life Holding Co,NYSE
AEMD,Aethlon Medical Inc,OTCBB
AEN,Amc Entertainment Inc,
AEN,Austral Pacific Energy LTD,
AENA,Id Perfumes Inc,
AEND,American Enterprise Development Corp,
AENG,Advanced Engine Technologies Inc,OTC
AENP,American Energy Production Inc,OTC
AENS,Alternative Energy Sources Inc,
AENY,Americas Energy Co - Aeco,
AEO,American Eagle Outfitters Inc,NYSE
AEOH,Novori Inc,
AEP,American Electric Power Co Inc,NYSE
AEPI,Aep Industries Inc,NASDAQ
AER,Aercap Holdings NV,NYSE
AERG,Applied Energetics Inc,OTC
AERI,Aerie Pharmaceuticals Inc,NASDAQ
AERO,Aerogrow International Inc,OTC
AERR,Telanetixinc,
AERT,Advanced Environmental Recycling Technologies Inc,OTC
AES,Aes Corp,NYSE
AESK,American Skiing Co,
AESP,Aesp Inc,
AET,Aetna Inc,NYSE
AETC,Applied Extrusion Technologies Inc,
AETI,American Electric Technologies Inc,NASDAQ
AEXB,Amerex Group Inc,
AEXP,Spotlight Innovation Inc,OTC
AEY,Addvantage Technologies Group Inc,NASDAQ
AF,Astoria Financial Corp,NYSE
AFAM,Almost Family Inc,NASDAQ
AFAN,Af Ocean Investment Management Co,OTC
AFB,Alliancebernstein National Municipal Income Fund,NYSE
AFBA,Allied First Bancorp Inc,OTCBB
AFBC,Advance Financial Bancorp,
AFCB,Athens Bancshares Corp,NASDAQ
AFCI,Advanced Fibre Communications Inc,
AFCO,Applied Films Corp,
AFDG,Cross Canyon Energy Corp,
AFEM,Quantrx Biomedical Corp,
AFFI,Affinity Technology Group Inc,
AFFM,Friendco Restaurants Inc,OTC
AFFM,Affirmative Insurance Holdings Inc,OTC
AFFS,American Fiedlity Financial Services Inc,
AFFW,Affinity Mediaworks Corp,OTCBB
AFFX,Affymetrix Inc,NASDAQ
AFFY,Affymax Inc,OTC
AFG,American Financial Group Inc,NYSE
AFGI,Firepond Inc,
AFH,Atlas Financial Holdings Inc,NASDAQ
AFL,Aflac Inc,NYSE
AFMI,Affinity Media International Corp,
AFOP,Alliance Fiber Optic Products Inc,NASDAQ
AFP,United Capital Corp,
AFPC,Afp Imaging Corp,
AFR,American Financial Realty Trust,NYSE
AFSI,Amtrust Financial Services Inc,NASDAQ
AFSN,Mexus Gold US,
AFT,Apollo Senior Floating Rate Fund Inc,NYSE
AFVS,Afv Solutions Inc,
AGAM,Aga Medical Holdings Inc,NASDAQ
AGAS,Applied Natural Gas Fuels Inc,
AGBG,Ab Holding Group Inc,
AGC,Advent Claymore Convertible Securities & Income Fund II,NYSE
AGCC,Anchor Glass Container Corp,
AGCO,Agco Corp,NYSE
AGD,Applied Graphics Technologies Inc,NYSE
AGD,Alpine Global Dynamic Dividend Fund,NYSE
AGDI,Shamika 2 Gold Inc,
AGE,Edwards A G Inc,
AGEL,Angelciti Entertainment Inc,OTC
AGEN,Agenus Inc,NASDAQ
AGGX,Angiogenex Inc,OTC
AGH,Atlantis Plastics Inc,
AGII,Argonaut Group Inc,NASDAQ
AGII,Argo Group International Holdings LTD,NASDAQ
AGIL,Agile Software Corp,
AGIN,American Graphite Technologies Inc,OTCBB
AGIO,Agios Pharmaceuticals Inc,NASDAQ
AGIS,Aegis Communications Group Inc,
AGIX,Atherogenics Inc,
AGL,Angelica Corp,
AGM,Federal Agricultural Mortgage Corp,NYSE
AGMB,Along Mobile Technologies Inc,
AGMG,Mediaworx Inc,
AGMN,Prolink Holdings Corp,
AGMX,Am-ch Inc,
AGN,Allergan Inc,NYSE
AGNC,American Capital Agency Corp,NASDAQ
AGNM,Acrongenomics Inc,OTC
AGNT,Argonaut Technologies Inc,
AGO,Assured Guaranty LTD,NYSE
AGP,Amerigroup Corp,NYSE
AGR,Agere Systems Inc,NYSE
AGRC,Agricon Global Corp,OTC
AGRD,Augrid Corp,
AGRT,Laburnum Ventures Inc,OTC
AGRX,Algorx Pharmaceuticals Inc,
AGSI,Aegis Assessments Inc,
AGSM,Silver Stream Mining Corp,OTC
AGSX,Greater China Media & Entertainment Corp Formerly Aga Resources Inc,
AGTA,Shiming US Inc,
AGWS,Advanced Growing Systems Inc,
AGWT,Atmospheric Glow Technologies Inc,
AGX,Argan Inc,NYSE
AGXM,Argentex Mining Corp,
AGY,Argosy Gaming Co,
AGYS,Agilysys Inc,NASDAQ
AH,Armor Holdings Inc,NYSE
AH,Accretive Health Inc,NYSE
AHC,A H Belo Corp,NYSE
AHCI,Allied Healthcare International Inc,
AHFP,Artisanal Brands Inc,OTC
AHG,Apria Healthcare Group Inc,
AHGP,Alliance Holdings GP LP,NASDAQ
AHH,American Home Mortgage Investment Corp,NYSE
AHH,Accredited Mortgage Loan REIT Trust,NYSE
AHH,Armada Hoffler Properties Inc,NYSE
AHI,Allied Systems Holdings Inc,NYSE MKT
AHII,Animal Health International Inc,OTCBB
AHL,Aspen Insurance Holdings LTD,NYSE
AHMH,American Home Mortgage Holdings Inc,
AHMR,Apache Motor Corp,
AHN,Atc Healthcare Inc,NYSE MKT
AHNC,Atchison Casting Corp,
AHNR,Athena Silver Corp,OTC
AHOM,American Homepatient Inc,
AHP,Ashford Hospitality Prime Inc,NYSE
AHPI,Allied Healthcare Products Inc,NASDAQ
AHR,Anthracite Capital Inc,NYSE
AHR,Amarc Resources LTD,
AHRO,Atheronova Inc,OTC
AHS,Amn Healthcare Services Inc,NYSE
AHT,Ashford Hospitality Trust Inc,NYSE
AIA,American Insured Mortgage Investors,NYSE ARCA
AIC,Aames Investment Corp,NYSE
AICIQ,Acceptance Insurance Companies Inc,OTC
AICO,Amcast Industrial Corp,
AICX,Applied Imaging Corp,
AIDA,Aida Pharmaceuticals Inc,OTC
AIDO,Advanced Id Corp,
AIDP,Accuimage Diagnostics Corp,
AIF,Apollo Tactical Income Fund Inc,NYSE
AIG,American International Group Inc,NYSE
AIH,Ablest Inc,
AII,American Insured Mortgage Investors Series 85 LP,
AIJ,American Insured Mortgage Investors LP Series 86,
AIK,American Insured Mortgage Investors LP Series 88,
AIM,Aerosonic Corp,
AIMC,Altra Industrial Motion Corp,NASDAQ
AIMM,Autoimmune Inc,OTC
AIN,Albany International Corp,NYSE
AINN,Applied Innovation Inc,
AINV,Apollo Investment Corp,NASDAQ
AIQ,Alliance Healthcare Services Inc,NASDAQ
AIR,Aar Corp,NYSE
AIR,Atlas Air Worldwide Holdings Inc,NYSE
AIRM,Air Methods Corp,NASDAQ
AIRN,Airspan Networks Inc,
AIRT,Air T Inc,NASDAQ
AIRV,Airvana Inc,NASDAQ
AIRW,Airware Labs Corp,OTCBB
AIT,Applied Industrial Technologies Inc,NYSE
AITX,Airtrax Inc,
AIV,Apartment Investment & Management Co,NYSE
AIVI,Ecochild Inc,OTC
AIVN,American International Ventures Inc,OTC
AIZ,Assurant Inc,NYSE
AJAYP,Ajay Sports Inc,
AJG,Gallagher Arthur J & Co,NYSE
AJGI,American Jianye Greentech Holdings LTD,
AJSB,Ajs Bancorp Inc,OTC
AJSB,Ajs Bancorp Inc,OTC
AKAM,Akamai Technologies Inc,NASDAQ
AKER,Akers Biosciences Inc,NASDAQ
AKES,Akesis Pharmaceuticals Inc,
AKLM,Acclaim Entertainment Inc,
AKP,Alliance California Municipal Income Fund,NYSE
AKPB,Alaska Pacific Bancshares Inc,OTCBB
AKR,Acadia Realty Trust,NYSE
AKRK,Asia Cork Inc,OTC
AKRN,Akorn Inc,NASDAQ
AKS,Ak Steel Holding Corp,NYSE
AKSY,Aksys LTD,OTC
AKVA,Arkanova Energy Corp,OTC
AKYI,Accesskey Ip Inc,
AL,Air Lease Corp,NYSE
ALAB,Alabama National Bancorporation,
ALAN,Alanco Technologies Inc,OTC
ALB,Albemarle Corp,NYSE
ALBA,Aldabra Acquisition Corp,
ALBY,Community Capital Bancshares Inc,OTC
ALC,Assisted Living Concepts Inc,NYSE
ALCD,Alcide Corp,
ALCI,Allcity Insurance Co,
ALCO,Alico Inc,NASDAQ
ALD,Allied Capital Corp,NYSE ARCA
ALDA,Aldila Inc,OTC
ALDM,Opes Exploration Inc,
ALDW,Alon USA Partners LP,NYSE
ALE,Allete Inc,NYSE
ALEX,Alexander & Baldwin Inc,NYSE
ALFA,Alfa Corp,NYSE ARCA
ALFC,Atlantic Liberty Financial Corp,
ALFE,CNK Global Inc,OTC
ALG,Alamo Group Inc,NYSE
ALGI,American Locker Group Inc,OTC
ALGN,Align Technology Inc,NASDAQ
ALGT,Allegiant Travel Co,NASDAQ
ALHC,Alliance Healthcard Inc,
ALIF,Artificial Life Inc,OTC
ALIM,Alimera Sciences Inc,NASDAQ
ALJ,Alon USA Energy Inc,NYSE
ALK,Alaska Air Group Inc,NYSE
ALKS,Alkermes Inc,NASDAQ
ALKS,Alkermes PLC,NASDAQ
ALL,Allstate Corp,NYSE
ALLB,Alliance Bancorp Inc Of Pennsylvania,NASDAQ
ALLB,Alliance Bancorp Inc Of Pennsylvania,NASDAQ
ALLC,Alliance Towers Inc,
ALLE,Allegiant Bancorp Inc,NYSE
ALLE,Allegion PLC,NYSE
ALLI,Care Group Inc,
ALLN,Allin Corp,OTC
ALLP,Alliance Pharmaceutical Corp,OTC
ALLT,Allot Communications LTD,NASDAQ
ALM,Allmerica Securities Trust,
ALME,Alamo Energy Corp,OTC
ALMG,Alamogordo Financial Corp,OTCBB
ALMN,Allmarine Consultants Corp,
ALMO,Alamosa Holdings LLC,
ALN,Allen Telecom Inc,NYSE MKT
ALN,American Lorain Corp,NYSE MKT
ALNC,Alliance Financial Corp,
ALNY,Alnylam Pharmaceuticals Inc,NASDAQ
ALO,Alpharma Inc,NYSE
ALOD,Allied Resources Inc,OTCBB
ALOG,Analogic Corp,NASDAQ
ALOT,Astro Med Inc,NASDAQ
ALOY,Alloy Inc,
ALPE,Alpine Air Express Inc,OTC
ALPH,Alphanet Solutions Inc,OTC
ALPN,First Federal Of Northern Michigan Bancorp Inc,OTC
ALPPRN,Alabama Power Co,NYSE
ALQA,Alliqua Inc,OTC
ALR,Alere Inc,NYSE
ALRC,Alternative Resources Corp,
ALRG,Allergy Research Group Inc,
ALRT,Alr Technologies Inc,OTC
ALRX,Umeworld LTD,
ALSC,Alliance Semiconductor Corp,OTC
ALSK,Alaska Communications Systems Group Inc,NASDAQ
ALSM,Alphasmart Inc,
ALSN,Allison Transmission Holdings Inc,NYSE
ALSO,Infinity Augmented Reality Inc,OTC
ALTE,Max Re Capital LTD,
ALTH,Allos Therapeutics Inc,
ALTI,Altair Nanotechnologies Inc,NASDAQ
ALTM,Alternate Marketing Networks Inc,
ALTO,Alto Group Holdings Inc,OTC
ALTR,Altera Corp,NASDAQ
ALTU,Altus Pharmaceuticals Inc,
ALTV,Alteva Inc,NYSE MKT
ALU,Allou Health & Beauty Care Inc,NYSE
ALV,Autoliv Inc,NYSE
ALX,Alexanders Inc,NYSE
ALXA,Alexza Pharmaceuticals Inc,NASDAQ
ALXN,Alexion Pharmaceuticals Inc,NASDAQ
ALY,Allis Chalmers Energy Inc,NYSE
ALYI,Alternet Systems Inc,OTC
AM,American Greetings Corp,NYSE
AMAC,American Medical Alert Corp,
AMAG,Amag Pharmaceuticals Inc,NASDAQ
AMAR,Amarillo Biosciences Inc,OTC
AMAS,Stemgen Inc,
AMAT,Applied Materials Inc,NASDAQ
AMB,Prologis Inc,NYSE
AMBA,Ambarella Inc,NASDAQ
AMBB,Americasbank Corp,
AMBE,Amber Resources Co Of Colorado,
AMBI,Ambit Biosciences Corp,NASDAQ
AMBK,American Bank Inc,OTC
AMBS,Amarantus Bioscience Holdings Inc,OTC
AMBT,Ambient Corp,NASDAQ
AMC,American Mortgage Acceptance Co,NYSE
AMC,Amc Entertainment Holdings Inc,NYSE
AMCC,Applied Micro Circuits Corp,NASDAQ
AMCE,American Learning Corp,
AMCF,Andatee China Marine Fuel Services Corp,NASDAQ
AMCG,Destiny Minerals Inc,OTC
AMCI,American Millennium Corp Inc,
AMCM,American Mining Corp,OTC
AMCP,Amcomp Inc,
AMCX,Amc Networks Inc,NASDAQ
AMD,Advanced Micro Devices Inc,NYSE
AMDR,Viratech Corp,
AME,Ametek Inc,NYSE
AMEC,4C Controls Inc,
AMED,Amedisys Inc,NASDAQ
AMEH,Apollo Medical Holdings Inc,OTC
AMEN,Amen Properties Inc,OTC
AMEV,Applied Molecular Evolution Inc,
AMF,Acm Managed Income Fund Inc,
AMFC,Amb Financial Corp,OTCBB
AMFE,Amfil Technologies Inc,OTC
AMFI,Amcore Financial Inc,
AMFM,Amfm Inc,
AMFS,Ameri First Financial Group Inc,
AMG,Affiliated Managers Group Inc,NYSE
AMGI,American Mold Guard Inc,OTC
AMGIA,Ascent Media Group Inc,
AMGN,Amgen Inc,NASDAQ
AMGO,Adira Energy LTD,
AMGTI,Ameri Metro Inc Formerly Yellowwood,
AMH,Athene USA Corp,NYSE
AMH,American Homes 4 Rent,NYSE
AMHI,American Healthchoice Inc,
AMI,Alaris Medical Systems Inc,NYSE
AMIC,American Independence Corp,NASDAQ
AMID,American Midstream Partners LP,NYSE
AMIE,Ambassadors International Inc,
AMIN,American International Industries Inc,OTC
AMIS,Amis Holdings Inc,
AMK,American Technical Ceramics Corp,
AMKR,Amkor Technology Inc,NASDAQ
AMKR,Amkor International Holdings LLC,NASDAQ
AML,Amli Residential Properties Trust,
AMLH,American Leisure Holdings Inc,OTC
AMLJ,Aml Communications Inc,
AMLM,American Lithium Minerals Inc,OTC
AMLN,Amylin Pharmaceuticals Inc,
AMM,Ams Health Sciences Inc,
AMMD,American Medical Systems Holdings Inc,
AMMY,American Metal & Technology Inc,
AMN,Ameron International Corp,NYSE
AMNB,American National Bankshares Inc,NASDAQ
AMNB,American National Bancshares Inc,NASDAQ
AMNL,Applied Minerals Inc,OTC
AMNM,Amnis Systems Inc,
AMNN,China Agricorp Inc,
AMNT,Amnet Mortgage Inc,NYSE MKT
AMO,Alliance All Market Advantage Fund Inc,
AMOT,Allied Motion Technologies Inc,NASDAQ
AMP,Ameriprise Financial Inc,NYSE
AMPD,Wi-tron Inc,OTCBB
AMPD,Amp Holding Inc,OTCBB
AMPE,American Petroleum Group Inc,NYSE MKT
AMPE,Ampio Pharmaceuticals Inc,NYSE MKT
AMPH,American Physicians Service Group Inc,
AMPI,True North Energy Corp,
AMPL,Ampal-american Israel Corp,
AMPX,Ampex Corp,
AMRA,American Racing Capital Inc,OTC
AMRB,American River Bankshares,NASDAQ
AMRC,Ameresco Inc,NYSE
AMRI,Albany Molecular Research Inc,NASDAQ
AMRN,Amarin Corp PLC,NASDAQ
AMRN,Amarin Corp PLC,NASDAQ
AMRS,Tara Gold Resources Corp,NASDAQ
AMRS,Amyris Inc,NASDAQ
AMRZ,Encompass Energy Services Inc,
AMS,American Shared Hospital Services,NYSE MKT
AMSC,American Superconductor Corp,NASDAQ
AMSE,Amstar Financial Services Inc,OTCBB
AMSF,Aames Financial Corp,NASDAQ
AMSF,Amerisafe Inc,NASDAQ
AMSG,Amsurg Corp,NASDAQ
AMSI,Artemis International Solutions Corp,
AMSN,American Market Support Network Inc,
AMST,American Stone Industries Inc,
AMST,Stem Cell Therapy International Inc,
AMSU,Amanasu Environment Corp,OTC
AMSV,Cono Italiano Inc,
AMSWA,American Software Inc,NASDAQ
AMSY,American Management Systems Inc,
AMT,American Tower Corp,NYSE
AMTA,Amistar Corp,OTC
AMTC,Ameritrans Capital Corp,OTC
AMTD,TD Ameritrade Holding Corp,NYSE
AMTG,Apollo Residential Mortgage Inc,NYSE
AMTN,Dematco Inc,
AMTU,Amt Group Inc,
AMTY,Amerityre Corp,OTC
AMU,Acm Municipal Securities Income Fund Inc,NYSE ARCA
AMV,Amerivest Properties Inc,
AMV,Alternative Asset Management Acquisition Corp,NYSE MKT
AMW,American Water Star  Inc,NYSE MKT
AMWD,American Woodmark Corp,NASDAQ
AMWI,Amwest Imaging Inc,
AMWW,Aims Worldwide Inc,OTC
AMXC,Amx Corp,
AMXG,Wind Works Power Corp,
AMY,Amreit,NYSE
AMZ,American Medical Security Group Inc,
AMZB,Amazon Biotech Inc,
AMZG,American Eagle Energy Corp,OTCBB
AMZN,Amazon Com Inc,NASDAQ
